temperature_fz,humidity_fz,pressure_fz,lat,long,time_gps,numSats_gps,temperature_pws,humidity_pws,time_pws,protocol_pws,id_pws
23.1,80.055664,1008.349976,28.058687,-82.416389,2023-11-17 15:00:32,8,24.200001,74.0,1700215232.0, Acurite 592TXR,1214.0
23.129999,80.006836,1008.330017,28.058685,-82.416397,2023-11-17 15:00:48,8,24.200001,74.0,1700215248.0, Acurite 592TXR,1214.0
23.110001,80.267578,1008.320007,28.058676,-82.416389,2023-11-17 15:01:04,8,24.200001,74.0,1700215264.0, Acurite 592TXR,1214.0
23.09,80.386719,1008.349976,28.05868,-82.416382,2023-11-17 15:01:21,8,27.0,79.0,1700215280.0, Acurite 592TXR,1214.0
23.09,80.374023,1008.359985,28.058712,-82.416367,2023-11-17 15:01:37,8,26.1,85.0,1700215297.0, Acurite 592TXR,1214.0
23.059999,80.359375,1008.369995,28.058718,-82.416389,2023-11-17 15:01:53,8,25.6,87.0,1700215313.0, Acurite 592TXR,1214.0
23.049999,80.412109,1008.349976,28.058731,-82.416397,2023-11-17 15:02:09,8,25.299999,87.0,1700215329.0, Acurite 592TXR,1214.0
23.129999,80.293945,1008.330017,28.058743,-82.416397,2023-11-17 15:02:26,7,25.1,88.0,1700215345.0, Acurite 592TXR,1214.0
23.209999,80.164062,1008.320007,28.058748,-82.416412,2023-11-17 15:03:14,8,24.799999,89.0,1700215394.0, Acurite 592TXR,1214.0
23.219999,80.155273,1008.299988,28.058743,-82.416443,2023-11-17 15:03:31,8,24.700001,89.0,1700215410.0, Acurite 592TXR,1214.0
23.209999,80.120117,1008.320007,28.058744,-82.416443,2023-11-17 15:03:47,8,24.700001,88.0,1700215427.0, Acurite 592TXR,1214.0
23.200001,80.207031,1008.320007,28.058741,-82.416458,2023-11-17 15:04:03,8,24.6,88.0,1700215443.0, Acurite 592TXR,1214.0
23.18,80.292969,1008.309998,28.058735,-82.416451,2023-11-17 15:04:19,8,24.700001,88.0,1700215459.0, Acurite 592TXR,1214.0
23.190001,80.28125,1008.330017,28.058741,-82.416443,2023-11-17 15:04:27,8,24.700001,88.0,1700215466.0, Acurite 592TXR,1214.0
23.219999,80.530273,1008.330017,28.05875,-82.416435,2023-11-17 15:04:43,8,24.700001,89.0,1700215483.0, Acurite 592TXR,1214.0
23.27,80.383789,1008.330017,28.058748,-82.416428,2023-11-17 15:04:59,7,24.700001,89.0,1700215499.0, Acurite 592TXR,1214.0
23.32,80.371094,1008.299988,28.058748,-82.416451,2023-11-17 15:05:15,7,25.0,89.0,1700215515.0, Acurite 592TXR,1214.0
23.34,80.441406,1008.309998,28.058764,-82.416443,2023-11-17 15:05:32,6,25.1,89.0,1700215531.0, Acurite 592TXR,1214.0
23.33,80.362305,1008.320007,28.058777,-82.416374,2023-11-17 15:05:48,7,25.200001,89.0,1700215548.0, Acurite 592TXR,1214.0
23.309999,80.225586,1008.330017,28.058828,-82.416328,2023-11-17 15:06:04,8,25.200001,90.0,1700215564.0, Acurite 592TXR,1214.0
23.280001,80.231445,1008.309998,28.058767,-82.416374,2023-11-17 15:06:20,7,25.200001,90.0,1700215580.0, Acurite 592TXR,1214.0
23.27,80.328125,1008.359985,28.05875,-82.416389,2023-11-17 15:06:37,8,25.200001,90.0,1700215596.0, Acurite 592TXR,1214.0
23.26,80.305664,1008.359985,28.058723,-82.416428,2023-11-17 15:06:53,8,25.200001,90.0,1700215613.0, Acurite 592TXR,1214.0
23.25,80.304688,1008.359985,28.058676,-82.416458,2023-11-17 15:07:09,8,25.200001,90.0,1700215629.0, Acurite 592TXR,1214.0
23.23,80.422852,1008.369995,28.058661,-82.416435,2023-11-17 15:07:25,8,25.1,90.0,1700215645.0, Acurite 592TXR,1214.0
23.18,80.591797,1008.349976,28.058683,-82.41642,2023-11-17 15:07:42,8,25.0,89.0,1700215661.0, Acurite 592TXR,1214.0
23.16,81.009766,1008.349976,28.058706,-82.416428,2023-11-17 15:07:58,8,25.1,89.0,1700215678.0, Acurite 592TXR,1214.0
23.18,81.012695,1008.380005,28.058699,-82.416428,2023-11-17 15:08:14,8,25.200001,89.0,1700215694.0, Acurite 592TXR,1214.0
23.15,80.75293,1008.349976,28.058716,-82.416435,2023-11-17 15:08:30,8,25.1,89.0,1700215710.0, Acurite 592TXR,1214.0
23.129999,80.725586,1008.349976,28.058743,-82.416428,2023-11-17 15:08:47,7,25.1,89.0,1700215726.0, Acurite 592TXR,1214.0
23.120001,80.746094,1008.380005,28.058748,-82.41642,2023-11-17 15:09:03,8,25.0,89.0,1700215743.0, Acurite 592TXR,1214.0
23.120001,80.8125,1008.380005,28.05876,-82.416428,2023-11-17 15:09:19,8,24.799999,89.0,1700215759.0, Acurite 592TXR,1214.0
23.129999,80.90332,1008.340027,28.058771,-82.416435,2023-11-17 15:09:35,8,24.700001,89.0,1700215775.0, Acurite 592TXR,1214.0
23.15,80.860352,1008.349976,28.058771,-82.416435,2023-11-17 15:09:52,7,24.6,88.0,1700215791.0, Acurite 592TXR,1214.0
23.18,80.87793,1008.390015,28.058771,-82.416428,2023-11-17 15:10:08,8,24.6,88.0,1700215808.0, Acurite 592TXR,1214.0
23.139999,80.837891,1008.359985,28.058775,-82.416443,2023-11-17 15:10:24,7,24.5,87.0,1700215824.0, Acurite 592TXR,1214.0
23.059999,80.958008,1008.400024,28.058775,-82.416435,2023-11-17 15:10:40,7,24.299999,86.0,1700215840.0, Acurite 592TXR,1214.0
22.99,81.043945,1008.380005,28.058765,-82.41642,2023-11-17 15:10:57,8,24.200001,86.0,1700215856.0, Acurite 592TXR,1214.0
23.02,81.181641,1008.400024,28.058758,-82.416412,2023-11-17 15:11:13,7,24.200001,86.0,1700215873.0, Acurite 592TXR,1214.0
23.049999,81.109375,1008.400024,28.058769,-82.416451,2023-11-17 15:11:29,7,24.200001,85.0,1700215889.0, Acurite 592TXR,1214.0
23.02,81.216797,1008.409973,28.058781,-82.416458,2023-11-17 15:11:45,7,24.200001,84.0,1700215905.0, Acurite 592TXR,1214.0
23.059999,81.267578,1008.390015,28.058798,-82.416512,2023-11-17 15:12:02,8,24.1,82.0,1700215921.0, Acurite 592TXR,1214.0
23.110001,81.143555,1008.359985,28.058794,-82.416504,2023-11-17 15:12:18,7,24.1,82.0,1700215938.0, Acurite 592TXR,1214.0
23.18,81.19043,1008.369995,28.058798,-82.416473,2023-11-17 15:12:34,7,24.0,82.0,1700215954.0, Acurite 592TXR,1214.0
23.26,80.959961,1008.359985,28.058826,-82.416458,2023-11-17 15:12:50,8,24.0,81.0,1700215970.0, Acurite 592TXR,1214.0
23.309999,80.834961,1008.369995,28.058817,-82.416481,2023-11-17 15:13:07,7,23.799999,80.0,1700215986.0, Acurite 592TXR,1214.0
23.309999,80.704102,1008.369995,28.058922,-82.416405,2023-11-17 15:13:23,6,23.799999,79.0,1700216003.0, Acurite 592TXR,1214.0
23.309999,80.591797,1008.369995,28.058893,-82.416435,2023-11-17 15:13:39,8,23.700001,79.0,1700216019.0, Acurite 592TXR,1214.0
23.309999,80.801758,1008.369995,28.05887,-82.416451,2023-11-17 15:13:55,7,23.6,79.0,1700216035.0, Acurite 592TXR,1214.0
23.32,80.759766,1008.359985,28.058836,-82.416466,2023-11-17 15:14:12,7,23.6,79.0,1700216051.0, Acurite 592TXR,1214.0
23.290001,80.753906,1008.380005,28.05883,-82.416473,2023-11-17 15:14:28,6,23.5,79.0,1700216068.0, Acurite 592TXR,1214.0
23.26,80.982422,1008.369995,28.058825,-82.416489,2023-11-17 15:14:44,7,23.5,79.0,1700216084.0, Acurite 592TXR,1214.0
23.25,81.3125,1008.390015,28.058813,-82.416481,2023-11-17 15:15:00,6,23.5,79.0,1700216100.0, Acurite 592TXR,1214.0
